Rice Type,Model,MAE,RMSE,MAPE,Time to Build (sec)
Denorado,Naive,367.5833333333333,426.8548738544909,56.579106470368664,0.06532168388366699
Denorado,SMA,363.9166666666667,430.28850140858333,36.16564552574123,0.006136655807495117
Denorado,Holt-Winters,78.41488169129902,95.69807263439392,7.984068713123971,0.16397571563720703
Denorado,Auto-SARIMA,72.20372102069513,91.86900690930001,8.454517921926398,6.688497543334961
Japanese Rice,Naive,283.0,331.8619190767951,77.98154015895372,0.0015101432800292969
Japanese Rice,SMA,186.83333333333334,211.8073023607386,37.66176469059146,0.0014247894287109375
Japanese Rice,Holt-Winters,72.51640373359686,100.48905576300129,13.326822811368055,0.08828139305114746
Japanese Rice,Auto-SARIMA,93.93829247295166,117.15005637024825,17.669059313783762,4.576862812042236
Jasmine,Naive,542.8333333333334,639.6909410019811,99.39455906966437,0.0018584728240966797
Jasmine,SMA,341.8333333333333,365.0541055788854,47.02785313340338,0.0009613037109375
Jasmine,Holt-Winters,90.60906565387872,127.27267112489042,12.10441629632277,0.07602548599243164
Jasmine,Auto-SARIMA,95.61389916512151,135.00786043076172,12.619682416039979,4.40024471282959
Malagkit,Naive,467.0,496.42253507806566,120.16528060027554,0.0035219192504882812
Malagkit,SMA,167.55555555555557,180.95978681586814,43.23867768349468,0.0018773078918457031
Malagkit,Holt-Winters,68.52079221819085,93.29238767106575,14.83185482771055,0.10856866836547852
Malagkit,Auto-SARIMA,114.27430555555559,142.81525951625215,22.111308856813498,0.749854326248169
Pandan,Naive,368.8333333333333,380.9041874277572,41.543536113739464,0.0009105205535888672
Pandan,SMA,368.8333333333333,445.48662531363755,32.78494965050437,0.0010280609130859375
Pandan,Holt-Winters,114.42686746394014,151.41169775024065,9.930150447022017,0.05847287178039551
Pandan,Auto-SARIMA,143.06971062187813,192.11263450085292,11.875774796672244,5.8069398403167725
